District,College,Programs
"Khairpur","Govt: Degree College Thari Mirwah","ADS, ADA"
"Khairpur","Govt: Degree College Bozdar Wada","ADA, ADS"
"Khairpur","Govt: Degree College Karoondi","ADS, ADA"
"Khairpur","Govt: Girls Degree College Ranipur","ADS, ADC"
"Khairpur","Govt: Sachal Sarmast Degree College Ranipur","ADS, ADA, ADC"
"Khairpur","Govt: Degree Science College Gambat","ADS, BS Computer Science"
"Khairpur","Govt: Girls Degree College Gambat","ADS"
"Khairpur","Govt: Mumtaz Degree College Khairpur","ADC, ADA"
"Khairpur","Govt: Superior Science College Khairpur","ADS"
"Khairpur","Govt: Degree College for Women Khairpur","ADS, ADA, ADC, ADS (Home Economics)"
"Khairpur","Govt: Pakistan Degree College Khairpur","ADC, ADA"
"Khairpur","Govt: Boys Degree College Pir Jo Goth","ADS, ADA, ADC"
"Khairpur","Govt: Makhdoom Abdul Rehman Shaheed Girls Degree College Khuhra","ADS"
"Khairpur","Govt: Girls Degree College Pir Jo Goth","ADS, ADA"
"Khairpur","Govt: Degree College Sobhodero","ADS"
"Sukkur","Govt: Girls Degree College Sukkur","ADS, ADC, BS Information Technology, BBA"
"Sukkur","Govt: Boys Postgraduate Degree College Sukkur","ADS, ADA, MA"
"Sukkur","Govt: Agha Nizamuddin Girls Degree College Sukkur","ADC, ADA"
"Sukkur","Govt: Islamia Arts & Commerce Postgraduate College Sukkur","ADC, ADA, MA"
"Sukkur","Govt: Islamia Science College Sukkur","ADS, BS Computer Science"
"Sukkur","Govt: Atta Hussain Shah Degree College Rohri","ADS, ADA, ADC"
"Sukkur","Govt: Degree College Pano Akil","ADS"
"Sukkur","Govt: Girls Degree College Pano Akil","ADS"
"Sukkur","COMSIT College Sukkur (Private)","BBA, MBA"
"Ghotki","Govt: Degree College Ghotki","ADS, ADA"
"Ghotki","Govt: Degree College Mirpur Mathelo","ADS, ADA"
"Ghotki","Govt: Girls Degree College Dharki","ADS, ADA"
"Ghotki","Govt: Boys Degree College Dharki","ADS, ADA, ADC"
"Ghotki","Govt: Jam Mumtaz Hussain Dahar Degree College Ubauro","ADS, ADA"
"Ghotki","Govt: Girls Degree College Ghotki","ADS, ADA"
"Shikarpur","Govt: C & S Degree College Shikarpur","ADS, ADA"
